raw,canonical,count
physical-layer-security,physical-layer-security,4
access-control,access-control,4
rag-security,rag-security,4
multi-agent-security,multi-agent-security,4
large-language-models,large-language-models,4
gradient-inversion-defense,gradient-inversion-defense,4
ransomware-detection,ransomware-detection,4
ai-agents,ai-agents,4
safety-evaluation,safety-evaluation,4
offensive-security,offensive-security,4
edge-computing,edge-computing,4
distributed-systems,distributed-systems,4
vulnerability-discovery,vulnerability-discovery,4
trusted-execution-environment,trusted-execution-environment,4
code-security,code-security,4
vulnerability-analysis,vulnerability-analysis,4
interpretability,interpretability,4
membership-inference-attack,membership-inference-attack,4
privacy-leakage,privacy-leakage,4
taint-analysis,taint-analysis,4
lean4,lean4,4
agentic-ai,agentic-ai,4
adversarial-machine-learning,adversarial-machine-learning,4
llm,llm,4
concept-drift,concept-drift,4
digital-twin,digital-twin,4
autonomous-agents,autonomous-agents,4
communication-efficiency,communication-efficiency,4
forward-secrecy,forward-secrecy,4
lattice-cryptography,lattice-cryptography,4
key-recovery,key-recovery,4
hqc,hqc,4
fiat-shamir,fiat-shamir,4
mechanism-design,mechanism-design,3
jailbreak-attacks,jailbreak-attacks,3
alignment-bypass,alignment-bypass,3
module-lattice,module-lattice,3
generative-ai,generative-ai,3
llm-watermarking,llm-watermarking,3
privacy-policy-analysis,privacy-policy-analysis,3
memory-poisoning,memory-poisoning,3
backdoor-defense,backdoor-defense,3
mechanistic-interpretability,mechanistic-interpretability,3
fault-injection,fault-injection,3
uav-security,uav-security,3
behavioral-analysis,behavioral-analysis,3
side-channel-defense,side-channel-defense,3
ml-dsa,ml-dsa,3
prompt-injection-detection,prompt-injection-detection,3
mcp-security,mcp-security,3
privacy-attack,privacy-attack,3
cyber-physical-systems,cyber-physical-systems,3
agent-governance,agent-governance,3
policy-enforcement,policy-enforcement,3
adversarial-testing,adversarial-testing,3
prompt-engineering,prompt-engineering,3
confidential-computing,confidential-computing,3
mobile-privacy,mobile-privacy,3
neuro-symbolic,neuro-symbolic,3
membership-inference,membership-inference,3
side-channel-attack,side-channel-attack,3
masking,masking,3
secure-aggregation,secure-aggregation,3
privacy-preserving-computation,privacy-preserving-computation,3
multi-party-computation,multi-party-computation,3
hardware-assurance,hardware-assurance,3
soc-automation,soc-automation,3
threat-detection,threat-detection,3
transfer-learning,transfer-learning,3
malware-classification,malware-classification,3
perception-security,perception-security,3
data-poisoning,data-poisoning,3
feature-selection,feature-selection,3
adversarial-evaluation,adversarial-evaluation,3
ai-agent-security,ai-agent-security,3
denial-of-service,denial-of-service,3
elliptic-curve-cryptography,elliptic-curve-cryptography,3
benchmarking,benchmarking,3
automotive-security,automotive-security,3
industrial-control-systems,industrial-control-systems,3
adversarial-attack,adversarial-attack,3
self-supervised-learning,self-supervised-learning,3
side-channel-attacks,side-channel-attacks,3
digital-signatures,digital-signatures,3
ckks,ckks,3
agent-security,agent-security,3
real-time-systems,real-time-systems,3
agentic-systems,agentic-systems,3
aes,aes,3
integral-cryptanalysis,integral-cryptanalysis,3
cryptanalysis,cryptanalysis,3
post-quantum-signature,post-quantum-signature,3
tvla,tvla,3
lattice-based-crypto,lattice-based-crypto,3
blockchain-applications,blockchain-applications,3
adaptive-security,adaptive-security,3
resource-allocation,resource-allocation,2
dp-sgd,dp-sgd,2
scalability,scalability,2
tor,tor,2
transformer,transformer,2
behavioral-biometrics,behavioral-biometrics,2
proof-of-work,proof-of-work,2
iot-authentication,iot-authentication,2
concept-erasure,concept-erasure,2
cyclotomic-fields,cyclotomic-fields,2
constant-time,constant-time,2
llm-as-judge,llm-as-judge,2
text-anonymization,text-anonymization,2
mev,mev,2
ebpf,ebpf,2
quantum-resistant,quantum-resistant,2
memory-security,memory-security,2
kzg-commitments,kzg-commitments,2
machine-unlearning,machine-unlearning,2
jailbreak-detection,jailbreak-detection,2
multi-turn-attack,multi-turn-attack,2
constant-time-verification,constant-time-verification,2
cryptographic-implementations,cryptographic-implementations,2
batch-inference,batch-inference,2
ckks-scheme,ckks-scheme,2
dao-governance,dao-governance,2
byzantine-fault-tolerance,byzantine-fault-tolerance,2
threat-taxonomy,threat-taxonomy,2
question-answering,question-answering,2
llm-benchmarking,llm-benchmarking,2
penetration-testing,penetration-testing,2
zero-trust-architecture,zero-trust-architecture,2
transformer-inference,transformer-inference,2
fhe,fhe,2
rowhammer,rowhammer,2
linux-security,linux-security,2
guardrails,guardrails,2
adversarial-prompts,adversarial-prompts,2
cryptography,cryptography,2
autonomous-systems,autonomous-systems,2
security-operations,security-operations,2
dataset,dataset,2
empirical-study,empirical-study,2
secure-coding,secure-coding,2
tort-law,tort-law,2
modular-arithmetic,modular-arithmetic,2
entropy,entropy,2
fully-homomorphic-encryption,fully-homomorphic-encryption,2
vector-search,vector-search,2
cve-discovery,cve-discovery,2
false-positive-reduction,false-positive-reduction,2
memory-corruption,memory-corruption,2
xai,xai,2
dos-detection,dos-detection,2
trustworthy-ai,trustworthy-ai,2
tee,tee,2
adversarial-defense,adversarial-defense,2
blockchain-security,blockchain-security,2
agentic-ai-security,agentic-ai-security,2
threat-model,threat-model,2
security-evaluation,security-evaluation,2
availability-attack,availability-attack,2
llm-privacy,llm-privacy,2
microarchitectural-attack,microarchitectural-attack,2
jailbreak-defense,jailbreak-defense,2
inference-time-defense,inference-time-defense,2
multivariate-signatures,multivariate-signatures,2
backdoor-detection,backdoor-detection,2
zero-shot-learning,zero-shot-learning,2
provenance-verification,provenance-verification,2
lora,lora,2
unsupervised-learning,unsupervised-learning,2
binary-analysis,binary-analysis,2
disassembly,disassembly,2
secure-messaging,secure-messaging,2
gradient-inversion,gradient-inversion,2
data-free-attack,data-free-attack,2
sem-images,sem-images,2
vision-transformer,vision-transformer,2
information-theory,information-theory,2
multimodal-llm,multimodal-llm,2
digital-forensics,digital-forensics,2
pe-files,pe-files,2
autonomous-vehicles,autonomous-vehicles,2
multi-sensor-fusion,multi-sensor-fusion,2
sensor-spoofing,sensor-spoofing,2
regulatory-compliance,regulatory-compliance,2
vulnerability-management,vulnerability-management,2
arithmetic-masking,arithmetic-masking,2
probing-model,probing-model,2
machine-checked-proofs,machine-checked-proofs,2
security-analysis,security-analysis,2
webauthn,webauthn,2
risk-assessment,risk-assessment,2
retrieval-augmented-generation,retrieval-augmented-generation,2
multi-vector-attacks,multi-vector-attacks,2
ensemble-learning,ensemble-learning,2
shap,shap,2
model-context-protocol,model-context-protocol,2
ast-analysis,ast-analysis,2
model-fingerprinting,model-fingerprinting,2
data-augmentation,data-augmentation,2
contextual-integrity,contextual-integrity,2
adversarial-malware,adversarial-malware,2
steganography,steganography,2
provable-security,provable-security,2
list-decoding,list-decoding,2
cryptographic-protocol,cryptographic-protocol,2
neural-network-security,neural-network-security,2
multimodal-security,multimodal-security,2
adversarial-model,adversarial-model,2
tamarin-prover,tamarin-prover,2
black-box-attack,black-box-attack,2
adversarial-prompting,adversarial-prompting,2
output-filtering,output-filtering,2
phishing-detection,phishing-detection,2
enterprise-security,enterprise-security,2
privacy-auditing,privacy-auditing,2
information-theoretic-security,information-theoretic-security,2
ember-dataset,ember-dataset,2
enterprise-ai,enterprise-ai,2
edge-ai,edge-ai,2
authorization,authorization,2
risc-v,risc-v,2
zero-trust-security,zero-trust-security,2
smart-grid,smart-grid,2
critical-infrastructure,critical-infrastructure,2
embodied-ai,embodied-ai,2
ring-signatures,ring-signatures,2
lwe,lwe,2
rust,rust,2
privacy-preserving-rag,privacy-preserving-rag,2
can-bus,can-bus,2
stability-analysis,stability-analysis,2
fast-adversarial-training,fast-adversarial-training,2
catastrophic-overfitting,catastrophic-overfitting,2
distributed-point-functions,distributed-point-functions,2
llm-agent,llm-agent,2
barrett-reduction,barrett-reduction,2
tls,tls,2
certificate-revocation,certificate-revocation,2
censorship-circumvention,censorship-circumvention,2
revocability,revocability,2
decentralized-identity,decentralized-identity,2
secure-computation,secure-computation,2
grpo,grpo,2
prime-field-masking,prime-field-masking,2
human-in-the-loop,human-in-the-loop,2
multi-modal-learning,multi-modal-learning,2
nisq,nisq,2
post-compromise-security,post-compromise-security,2
decomposed-lwe,decomposed-lwe,2
block-cipher,block-cipher,2
pairing-based-crypto,pairing-based-crypto,2
montgomery-multiplication,montgomery-multiplication,2
code-based-cryptography,code-based-cryptography,2
nist-standardization,nist-standardization,2
password-security,password-security,2
digital-signature,digital-signature,2
hash-and-sign,hash-and-sign,2
post-quantum-crypto,post-quantum-crypto,2
lattice-crypto,lattice-crypto,2
mpc-in-the-head,mpc-in-the-head,2
arm-cortex-m4,arm-cortex-m4,2
hybrid-kem,hybrid-kem,2
frodokem,frodokem,2
adaptor-signatures,adaptor-signatures,2
fair-exchange,fair-exchange,2
quantum-homomorphic-encryption,quantum-homomorphic-encryption,2
ibm-quantum,ibm-quantum,2
error-mitigation,error-mitigation,2
quantum-cloud-computing,quantum-cloud-computing,2
lattice-based-cryptography,lattice-based-cryptography,2
threshold-signatures,threshold-signatures,2
speculative-execution,speculative-execution,2
masked-implementation,masked-implementation,2
malicious-security,malicious-security,2
welfare-maximization,welfare-maximization,1
individual-vs-unit-targeting,individual-vs-unit-targeting,1
algorithmic-fairness,algorithmic-fairness,1
regret-bounds,regret-bounds,1
prediction-based-allocation,prediction-based-allocation,1
token-theft,token-theft,1
apple-intelligence,apple-intelligence,1
bearer-token,bearer-token,1
macos-security,macos-security,1
credential-theft,credential-theft,1
cross-device-attack,cross-device-attack,1
authentication-bypass,authentication-bypass,1
keychain-vulnerability,keychain-vulnerability,1
pcc,pcc,1
privacy-pass,privacy-pass,1
private-blocklisting,private-blocklisting,1
toctou-attack-resilience,toctou-attack-resilience,1
similarity-matching,similarity-matching,1
fuzzy-hashing,fuzzy-hashing,1
three-party-protocol,three-party-protocol,1
allowlist-verification,allowlist-verification,1
dataset-synthesis,dataset-synthesis,1
synthetic-data-generation,synthetic-data-generation,1
downstream-task-guidance,downstream-task-guidance,1
tabular-data,tabular-data,1
utility-optimization,utility-optimization,1
gan-comparison,gan-comparison,1
website-fingerprinting,website-fingerprinting,1
multi-tab,multi-tab,1
traffic-demixing,traffic-demixing,1
rotary-positional-embedding,rotary-positional-embedding,1
anonymous-networks,anonymous-networks,1
domain-context-exploitation,domain-context-exploitation,1
adversarial-llm,adversarial-llm,1
multi-turn-attacks,multi-turn-attacks,1
gray-zone-attacks,gray-zone-attacks,1
safety-research-context,safety-research-context,1
visual-speaker-recognition,visual-speaker-recognition,1
event-camera,event-camera,1
cross-scene-recognition,cross-scene-recognition,1
lip-motion,lip-motion,1
few-shot-adaptation,few-shot-adaptation,1
temporal-learning,temporal-learning,1
spatiotemporal-processing,spatiotemporal-processing,1
neural-network,neural-network,1
data-efficiency,data-efficiency,1
llm-routing,llm-routing,1
secure-multi-party-computation,secure-multi-party-computation,1
transformer-approximation,transformer-approximation,1
knowledge-distillation,knowledge-distillation,1
nearest-neighbor-search,nearest-neighbor-search,1
sequential-computation,sequential-computation,1
memory-hard-function,memory-hard-function,1
latency-bound,latency-bound,1
causal-hashing,causal-hashing,1
mutable-state,mutable-state,1
asic-resistance,asic-resistance,1
pointer-chasing,pointer-chasing,1
verifiable-delay,verifiable-delay,1
sybil-resistance,sybil-resistance,1
sram-puf,sram-puf,1
hamming-code,hamming-code,1
error-correction,error-correction,1
iiot,iiot,1
resource-constrained,resource-constrained,1
majority-voting,majority-voting,1
threshold-authentication,threshold-authentication,1
text-to-image-diffusion,text-to-image-diffusion,1
model-editing,model-editing,1
multimodal-learning,multimodal-learning,1
generative-AI-safety,generative-ai-safety,1
image-guided-erasure,image-guided-erasure,1
backscatter-communication,backscatter-communication,1
wireless-power-transfer,wireless-power-transfer,1
swipt,swipt,1
lorawan,lorawan,1
battery-free-nodes,battery-free-nodes,1
protocol-agnostic,protocol-agnostic,1
keystroke-dynamics,keystroke-dynamics,1
hid-injection-detection,hid-injection-detection,1
rubber-ducky,rubber-ducky,1
privacy-preserving-detection,privacy-preserving-detection,1
lightweight-models,lightweight-models,1
human-vs-machine-discrimination,human-vs-machine-discrimination,1
wgan-gp-adversarial,wgan-gp-adversarial,1
mathematical-reasoning,mathematical-reasoning,1
automated-reasoning,automated-reasoning,1
privacy-ml,privacy-ml,1
webers-conjecture,webers-conjecture,1
number-theory,number-theory,1
herbrand-theorem,herbrand-theorem,1
iwasawa-theory,iwasawa-theory,1
unconditional-proof,unconditional-proof,1
lattice-based-signature,lattice-based-signature,1
memory-optimization,memory-optimization,1
microcontroller,microcontroller,1
haetae,haetae,1
anonymization,anonymization,1
pii-detection,pii-detection,1
utility-privacy-tradeoff,utility-privacy-tradeoff,1
text-to-image-safety,text-to-image-safety,1
compositional-unsafety,compositional-unsafety,1
multi-concept-harm,multi-concept-harm,1
content-moderation,content-moderation,1
adversarial-generation,adversarial-generation,1
safety-benchmark,safety-benchmark,1
t2i-vulnerability,t2i-vulnerability,1
arbitrage,arbitrage,1
amm,amm,1
stochastic-model,stochastic-model,1
cex-dex,cex-dex,1
jump-diffusion,jump-diffusion,1
black-scholes,black-scholes,1
constant-product-mm,constant-product-mm,1
code-watermarking,code-watermarking,1
provenance-tracking,provenance-tracking,1
dual-channel-encoding,dual-channel-encoding,1
bch-codes,bch-codes,1
parity-check,parity-check,1
black-box-watermarking,black-box-watermarking,1
vulnerability-forecasting,vulnerability-forecasting,1
time-series-analysis,time-series-analysis,1
count-models,count-models,1
cyber-threat-intelligence,cyber-threat-intelligence,1
sparse-data,sparse-data,1
adaptive-forecasting,adaptive-forecasting,1
transmitter-privacy,transmitter-privacy,1
isac,isac,1
ris-beamforming,ris-beamforming,1
channel-estimation,channel-estimation,1
sensing-security,sensing-security,1
vpn,vpn,1
split-tunnel,split-tunnel,1
process-isolation,process-isolation,1
cgroup,cgroup,1
wireguard,wireguard,1
endpoint-security,endpoint-security,1
quantum-teleportation,quantum-teleportation,1
quantum-memory,quantum-memory,1
quantum-network-security,quantum-network-security,1
lwe-based-crypto,lwe-based-crypto,1
pqc-integration,pqc-integration,1
holevo-bound,holevo-bound,1
hybrid-threat-model,hybrid-threat-model,1
swapt-attack,swapt-attack,1
policy-analysis,policy-analysis,1
privacy-compliance,privacy-compliance,1
llm-based-analysis,llm-based-analysis,1
google-play,google-play,1
android-privacy,android-privacy,1
app-privacy,app-privacy,1
data-safety-section,data-safety-section,1
llm-guardrails,llm-guardrails,1
localization,localization,1
cultural-adaptation,cultural-adaptation,1
taiwan-context,taiwan-context,1
safety-moderation,safety-moderation,1
mandarin-safety,mandarin-safety,1
text-classification,text-classification,1
mnemonic-sovereignty,mnemonic-sovereignty,1
survey,survey,1
data-availability-sampling,data-availability-sampling,1
light-clients,light-clients,1
polynomial-multiproofs,polynomial-multiproofs,1
proof-aggregation,proof-aggregation,1
peer-to-peer,peer-to-peer,1
distributed-hash-table,distributed-hash-table,1
hallucination-mitigation,hallucination-mitigation,1
audio-llm,audio-llm,1
jailbreak,jailbreak,1
adversarial-learning,adversarial-learning,1
embedding-proximity,embedding-proximity,1
safety-defense,safety-defense,1
modal-alignment,modal-alignment,1
stringology,stringology,1
stream-ciphers,stream-ciphers,1
pattern-detection,pattern-detection,1
keystream-analysis,keystream-analysis,1
structural-cryptanalysis,structural-cryptanalysis,1
complementary-analysis,complementary-analysis,1
activation-steering,activation-steering,1
code-vulnerabilities,code-vulnerabilities,1
format-reliability-gap,format-reliability-gap,1
per-vulnerability-routing,per-vulnerability-routing,1
hierarchical-convergence,hierarchical-convergence,1
adversarial-prompt-resistance,adversarial-prompt-resistance,1
voltage-glitching,voltage-glitching,1
cps-security,cps-security,1
stm32,stm32,1
px4-autopilot,px4-autopilot,1
failsafe-bypass,failsafe-bypass,1
armory-simulation,armory-simulation,1
sisa-training,sisa-training,1
dqn,dqn,1
ddqn,ddqn,1
responsible-ai,responsible-ai,1
capability-based-security,capability-based-security,1
secret-mediation,secret-mediation,1
mcp-integration,mcp-integration,1
broker-architecture,broker-architecture,1
anti-replay,anti-replay,1
tamper-evident-audit,tamper-evident-audit,1
world-model,world-model,1
proactive-defense,proactive-defense,1
cumulative-detection,cumulative-detection,1
examination-management,examination-management,1
academic-records,academic-records,1
rbac,rbac,1
ipfs,ipfs,1
tamper-evident,tamper-evident,1
timing-side-channel,timing-side-channel,1
binary-instrumentation,binary-instrumentation,1
instruction-traces,instruction-traces,1
resnet,resnet,1
high-throughput,high-throughput,1
memory-efficient,memory-efficient,1
ciphertext-packing,ciphertext-packing,1
optimized-rotations,optimized-rotations,1
pipeline-architecture,pipeline-architecture,1
ai-gateway-hardening,ai-gateway-hardening,1
bell-lapadula,bell-lapadula,1
mandatory-access-control,mandatory-access-control,1
module-signing,module-signing,1
dlp-scanner,dlp-scanner,1
hash-chained-audit,hash-chained-audit,1
two-flavor-architecture,two-flavor-architecture,1
regulated-industry,regulated-industry,1
mcp,mcp,1
kernel-security,kernel-security,1
tool-governance,tool-governance,1
logit-based-safety,logit-based-safety,1
wasm-abi,wasm-abi,1
fail-closed,fail-closed,1
reference-monitor,reference-monitor,1
anima-os,anima-os,1
probe-logits,probe-logits,1
edge-native-slm,edge-native-slm,1
system-1-vs-system-2,system-1-vs-system-2,1
cognitive-penalty,cognitive-penalty,1
sycophancy-defense,sycophancy-defense,1
constitutional-firewall,constitutional-firewall,1
inference-time-compute,inference-time-compute,1
latency-overhead,latency-overhead,1
zkml,zkml,1
multimodal-adversarial-attack,multimodal-adversarial-attack,1
agentic-recommender,agentic-recommender,1
visual-inception,visual-inception,1
sleeper-agent,sleeper-agent,1
dual-process-defense,dual-process-defense,1
cognitive-guard,cognitive-guard,1
counterfactual-verification,counterfactual-verification,1
diffusion-purification,diffusion-purification,1
x509,x509,1
certificate-validation,certificate-validation,1
assurance-framework,assurance-framework,1
pkix,pkix,1
private-key-import,private-key-import,1
mutation-testing,mutation-testing,1
false-security-confidence,false-security-confidence,1
llm-code-generation,llm-code-generation,1
security-evaluation-metrics,security-evaluation-metrics,1
measurement-framework,measurement-framework,1
conditional-metrics,conditional-metrics,1
fsc-hard,fsc-hard,1
static-dynamic-analysis,static-dynamic-analysis,1
benchmark-design,benchmark-design,1
jailbreak-benchmark,jailbreak-benchmark,1
alignment-paradox,alignment-paradox,1
eda-security,eda-security,1
rtl-generation,rtl-generation,1
semantic-disguise,semantic-disguise,1
hardware-trojan,hardware-trojan,1
tool-poisoning-defense,tool-poisoning-defense,1
layered-defense,layered-defense,1
hybrid-defense-architecture,hybrid-defense-architecture,1
local-operation,local-operation,1
embedding-based-detection,embedding-based-detection,1
regex-prefilter,regex-prefilter,1
data-exfiltration-defense,data-exfiltration-defense,1
continuous-glucose-monitoring,continuous-glucose-monitoring,1
agent-framework,agent-framework,1
tool-augmented-llm,tool-augmented-llm,1
diabetes-management,diabetes-management,1
local-computation,local-computation,1
health-ai,health-ai,1
ctf,ctf,1
agent-systems,agent-systems,1
decentralised-trust,decentralised-trust,1
lightweight-cryptography,lightweight-cryptography,1
secure-inference,secure-inference,1
subspace-leakage,subspace-leakage,1
svd,svd,1
data-recovery,data-recovery,1
kv-cache,kv-cache,1
bit-flip,bit-flip,1
prefix-caching,prefix-caching,1
vllm,vllm,1
integrity-protection,integrity-protection,1
silent-divergence,silent-divergence,1
bf16,bf16,1
security-compliance,security-compliance,1
automated-assessment,automated-assessment,1
multi-tool-integration,multi-tool-integration,1
hardening-validation,hardening-validation,1
file-integrity,file-integrity,1
vulnerability-scanning,vulnerability-scanning,1
open-source-tools,open-source-tools,1
security-privacy-transparency,security-privacy-transparency,1
user-study,user-study,1
qualitative-research,qualitative-research,1
consumer-facing-ai,consumer-facing-ai,1
trust,trust,1
adoption-decisions,adoption-decisions,1
privacy-labels,privacy-labels,1
design-recommendations,design-recommendations,1
phishing,phishing,1
open-source-llm,open-source-llm,1
social-engineering,social-engineering,1
offline-deployment,offline-deployment,1
boolean-functions,boolean-functions,1
monotone-functions,monotone-functions,1
evolutionary-computation,evolutionary-computation,1
genetic-programming,genetic-programming,1
nonlinearity,nonlinearity,1
metaheuristics,metaheuristics,1
truth-table-encoding,truth-table-encoding,1
fitness-function,fitness-function,1
balanced-functions,balanced-functions,1
privacy-preserving-vr,privacy-preserving-vr,1
secure-offloading,secure-offloading,1
avatar-reconstruction,avatar-reconstruction,1
frequency-partitioning,frequency-partitioning,1
damp,damp,1
pac-privacy,pac-privacy,1
quantum-augmented-microgrid,quantum-augmented-microgrid,1
microgrid-cybersecurity,microgrid-cybersecurity,1
quantum-key-distribution,quantum-key-distribution,1
false-data-injection-defense,false-data-injection-defense,1
node-spoofing-defense,node-spoofing-defense,1
quantum-communication,quantum-communication,1
power-grid-security,power-grid-security,1
admission-control,admission-control,1
atomic-decision-boundary,atomic-decision-boundary,1
toctou,toctou,1
labeled-transition-systems,labeled-transition-systems,1
split-evaluation,split-evaluation,1
impossibility-theorem,impossibility-theorem,1
enforcement-limitations,enforcement-limitations,1
invariant-measurement,invariant-measurement,1
behavioral-drift,behavioral-drift,1
runtime-verification,runtime-verification,1
non-identifiability-theorem,non-identifiability-theorem,1
attention-lstm,attention-lstm,1
file-system-monitoring,file-system-monitoring,1
sequential-modeling,sequential-modeling,1
network-intrusion-detection,network-intrusion-detection,1
evaluation-methodology,evaluation-methodology,1
sok,sok,1
false-positive-rate,false-positive-rate,1
dataset-quality,dataset-quality,1
practical-utility,practical-utility,1
alert-fatigue,alert-fatigue,1
reward-hacking,reward-hacking,1
terminal-agents,terminal-agents,1
exploit-taxonomy,exploit-taxonomy,1
monitoring-detection,monitoring-detection,1
benchmark-vulnerabilities,benchmark-vulnerabilities,1
verifier-bypass,verifier-bypass,1
reward-optimization,reward-optimization,1
npm,npm,1
javascript,javascript,1
vulnerability-propagation,vulnerability-propagation,1
dependency-network,dependency-network,1
open-source-software,open-source-software,1
package-management,package-management,1
llm-assisted-fuzzing,llm-assisted-fuzzing,1
greybox-fuzzing,greybox-fuzzing,1
structured-input-fuzzing,structured-input-fuzzing,1
crash-analysis,crash-analysis,1
developer-training,developer-training,1
llm-assisted-development,llm-assisted-development,1
security-training,security-training,1
web-application-security,web-application-security,1
quasi-experiment,quasi-experiment,1
java-spring-boot,java-spring-boot,1
propaganda-detection,propaganda-detection,1
privacy-risk-analysis,privacy-risk-analysis,1
compliance-auditing,compliance-auditing,1
systematization-of-knowledge,systematization-of-knowledge,1
cross-border-data-transfers,cross-border-data-transfers,1
party-autonomy,party-autonomy,1
private-international-law,private-international-law,1
comparative-law,comparative-law,1
eu-law,eu-law,1
japanese-law,japanese-law,1
cloud-computing,cloud-computing,1
data-protection,data-protection,1
lex-loci-damni,lex-loci-damni,1
zero-knowledge-proof,zero-knowledge-proof,1
zpk-acceleration,zpk-acceleration,1
ai-asic,ai-asic,1
tpu,tpu,1
msm,msm,1
hardware-optimization,hardware-optimization,1
rns-lazy-reduction,rns-lazy-reduction,1
dataflow-optimization,dataflow-optimization,1
secret-leakage,secret-leakage,1
code-llm,code-llm,1
tokenization,tokenization,1
gibberish-bias,gibberish-bias,1
bpe,bpe,1
memorization,memorization,1
tokenizer-design,tokenizer-design,1
privacy-preserving-ann,privacy-preserving-ann,1
product-quantization,product-quantization,1
hybrid-cryptosystem,hybrid-cryptosystem,1
llm-agent-orchestration,llm-agent-orchestration,1
multi-agent-deliberation,multi-agent-deliberation,1
saast-alternative,saast-alternative,1
fine-tuning-adaptation,fine-tuning-adaptation,1
multi-agent-system,multi-agent-system,1
automated-reporting,automated-reporting,1
nist-sard-evaluation,nist-sard-evaluation,1
cwe-detection,cwe-detection,1
5g-intrusion-detection,5g-intrusion-detection,1
transformer-ids,transformer-ids,1
logic-rule-extraction,logic-rule-extraction,1
llm-explanation,llm-explanation,1
surrogate-decision-tree,surrogate-decision-tree,1
integrated-gradients,integrated-gradients,1
alarm-rating,alarm-rating,1
tcp-analysis,tcp-analysis,1
petri-net,petri-net,1
dynamic-risk-assessment,dynamic-risk-assessment,1
bayesian-attack-graphs,bayesian-attack-graphs,1
vulnerability-exploitation,vulnerability-exploitation,1
cve-vulnerabilities,cve-vulnerabilities,1
packet-inspection,packet-inspection,1
electronic-voting,electronic-voting,1
receipt-freeness,receipt-freeness,1
tally-hiding,tally-hiding,1
end-to-end-verifiability,end-to-end-verifiability,1
audit-mechanism,audit-mechanism,1
pedersen-commitments,pedersen-commitments,1
 coercion-resistance,coercion-resistance,1
llm-verification,llm-verification,1
model-substitution-detection,model-substitution-detection,1
sae-features,sae-features,1
merkle-commitment,merkle-commitment,1
hosted-llm,hosted-llm,1
audit,audit,1
zero-knowledge,zero-knowledge,1
arm-cca,arm-cca,1
secure-execution,secure-execution,1
cross-domain-techniques,cross-domain-techniques,1
forensic-linguistics,forensic-linguistics,1
bioinformatics-sequence-alignment,bioinformatics-sequence-alignment,1
adversarial-fatigue-tracking,adversarial-fatigue-tracking,1
change-point-detection,change-point-detection,1
taint-tracking,taint-tracking,1
rank-metric-cryptography,rank-metric-cryptography,1
gabidulin-codes,gabidulin-codes,1
lambda-gabidulin-codes,lambda-gabidulin-codes,1
subcodes,subcodes,1
minrank-problem,minrank-problem,1
niederreiter-cryptosystem,niederreiter-cryptosystem,1
compact-ciphertext,compact-ciphertext,1
public-key-encryption,public-key-encryption,1
information-flow-security,information-flow-security,1
where-declassification,where-declassification,1
higher-order-language,higher-order-language,1
logical-relations,logical-relations,1
compositional-security,compositional-security,1
flow-locks,flow-locks,1
type-soundness,type-soundness,1
auditing,auditing,1
synthetic-data,synthetic-data,1
MST,mst,1
AIM,aim,1
gaussian-differential-privacy,gaussian-differential-privacy,1
privacy-verification,privacy-verification,1
dp-generative-models,dp-generative-models,1
smart-contract-fuzzing,smart-contract-fuzzing,1
mevul-detection,mevul-detection,1
